=====================================================================
FEDEX FREIGHT ADDITIONAL PICKUP AND DELIVERY CHARGE TIERS BY ZIP CODE
=====================================================================

CONTIGUOUS U.S.
An additional pickup and delivery charge will apply to shipments to/from select contiguous 
U.S. ZIP codes. For a list of the ZIP codes where this charge applies, see below. 
The additional charge applies to shipments rated using FedEx Freight zone-based pricing.

Effective Jan. 7, 2019

FedEx reserves the right in its sole discretion to change, without notice and as frequently 
as it determines, the list of postal codes where a pickup or delivery charge may apply.

========================================
ZIP CODE  ORIGIN TIER	DESTINATION TIER
========================================




00200-00299		A			A
01222			A			A
01244-01245		A			A
01247			A			A
01252-01253		A			A
01255			A			B
01257-01259		A			A
01267			A			A
01330-01331		A			A
01343			A			A
01346			A			A
01350			A			B
01355			A			A
01366-01368		A			A
01908			A			A
01945			A			A
02128-02129		A			A
02138-02142		A			A
02238-02239		A			A
02474-02476		A			A
02535			I			I
02539			I			I
02552			I			I
02554			I			I
02557			I			I
02564			I			I
02568			I			I
02573			I			I
02575			I			I
02584			F			F
02601			F			F
02630-02639		F			F
02641-02653		F			F
02655			F			F
02657			F			F
02659-02664		F			F
02666-02673		F			F
02675			F			F
02713			I			I
02901			A			A
02903			A			A
03215			A			B
03216			A			A
03217			A			B
03218			A			A
03220-03221		A			A
03222			A			B
03223-03225		A			A
03226-03227		B			C
03230-03231		A			A
03235			A			A
03237			A			B
03238			A			A
03241			A			B
03242-03243		A			A
03245-03247		A			B
03249			A			B
03252			A			A
03253			B			B
03254			B			C
03255			A			A
03256			A			B
03258			A			A
03259			B			C
03261			A			A
03264			A			B
03266			A			B
03268-03269		A			A
03272-03273		A			A
03274			A			B
03276			A			A
03278-03279		A			A
03282			A			B
03285			A			A
03287			A			A
03289			A			A
03291			A			A
03298-03299		A			A
03570			A			B
03576			B			C
03579			B			D
03581			A			B
03582			A			A
03588			B			B
03589			A			A
03590			A			B
03592			B			D
03593			A			B
03597			B			D
03743			A			A
03751-03752		A			A
03754			A			A
03765			A			A
03773-03774		A			A
03777			A			A
03779			A			A
03780			A			B
03782			A			A
03785			A			A
03801-03805		A			A
03809-03810		A			B
03812			A			A
03813-03814		A			B
03815			A			A
03816			B			B
03817			B			C
03818			A			B
03819-03825		A			A
03827			A			A
03830			A			A
03832			A			B
03833			A			A
03835			A			A
03836-03838		A			B
03839-03840		A			A
03842-03844		A			A
03845-03847		A			B
03848			A			A
03849-03850		B			C
03851-03852		A			B
03853			B			B
03854-03855		A			B
03856-03859		A			A
03860			A			B
03861-03862		A			A
03864			B			B
03865-03871		A			A
03872			A			B
03874			A			A
03875			B			C
03878			A			A
03882			A			B
03883			B			C
03884-03885		A			A
03886			B			C
03887			A			B
03890			B			C
03894			A			B
03896			A			B
03897			B			C
03901			A			A
03902			A			B
03903			B			B
03904-03905		A			B
03906-03908		A			A
03909-03911		A			B
04001			A			B
04002-04003		A			A
04009-04010		A			B
04014			A			A
04016			A			B
04019			A			B
04020			A			A
04022			A			B
04024			A			A
04027-04029		A			A
04037			B			B
04040-04041		A			A
04043			A			A
04046-04049		A			A
04050-04051		A			B
04054-04057		A			A
04061			A			A
04066			A			A
04068			A			B
04073			A			A
04076			A			B
