======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

AUSTRALIA
SYDNEY                                            2000                                          10:00am
SYDNEY                                            2006                                          10:00am
SYDNEY                                            2007                                          10:00am
SYDNEY                                            2008                                          10:00am
SYDNEY                                            2009                                          10:00am
SYDNEY                                            2010                                          10:00am
SYDNEY                                            2011                                          10:00am
SYDNEY                                            2015                                          10:00am
SYDNEY                                            2016                                          10:00am
SYDNEY                                            2017                                          10:00am
SYDNEY                                            2018                                          10:00am
SYDNEY                                            2019                                          10:00am
SYDNEY                                            2020                                          10:00am
SYDNEY                                            2021                                          10:00am
SYDNEY                                            2022                                          10:00am
SYDNEY                                            2023                                          10:00am
SYDNEY                                            2024                                          10:00am
SYDNEY                                            2025                                          10:00am
SYDNEY                                            2026                                          10:00am
SYDNEY                                            2027                                          10:00am
SYDNEY                                            2028                                          10:00am
SYDNEY                                            2029                                          10:00am
SYDNEY                                            2030                                          10:00am
SYDNEY                                            2031                                          10:00am
SYDNEY                                            2032                                          10:00am
SYDNEY                                            2033                                          10:00am
SYDNEY                                            2034                                          10:00am
SYDNEY                                            2035                                          10:00am
SYDNEY                                            2036                                          10:00am
SYDNEY                                            2037                                          10:00am
SYDNEY                                            2038                                          10:00am
SYDNEY                                            2039                                          10:00am
SYDNEY                                            2040                                          10:00am
SYDNEY                                            2041                                          10:00am
SYDNEY                                            2042                                          10:00am
SYDNEY                                            2043                                          10:00am
SYDNEY                                            2044                                          10:00am
SYDNEY                                            2045                                          10:00am
SYDNEY                                            2046                                          10:00am
SYDNEY                                            2047                                          10:00am
SYDNEY                                            2048                                          10:00am
SYDNEY                                            2049                                          10:00am
SYDNEY                                            2050                                          10:00am
SYDNEY                                            2052                                          10:00am
SYDNEY                                            2060                                          10:00am
SYDNEY                                            2061                                          10:00am
SYDNEY                                            2062                                          10:00am
SYDNEY                                            2063                                          10:00am
SYDNEY                                            2064                                          10:00am
SYDNEY                                            2065                                          10:00am
SYDNEY                                            2066                                          10:00am
SYDNEY                                            2067                                          10:00am
SYDNEY                                            2068                                          10:00am
SYDNEY                                            2069                                          10:00am
SYDNEY                                            2088                                          10:00am
SYDNEY                                            2089                                          10:00am
SYDNEY                                            2090                                          10:00am
SYDNEY                                            2109                                          10:00am
SYDNEY                                            2113                                          10:00am
SYDNEY                                            2130                                          10:00am
SYDNEY                                            2131                                          10:00am
SYDNEY                                            2191                                          10:00am
SYDNEY                                            2192                                          10:00am
SYDNEY                                            2193                                          10:00am
SYDNEY                                            2194                                          10:00am
SYDNEY                                            2203                                          10:00am
SYDNEY                                            2204                                          10:00am
SYDNEY                                            2205                                          10:00am
SYDNEY                                            2206                                          10:00am
SYDNEY                                            2207                                          10:00am
SYDNEY                                            2208                                          10:00am
SYDNEY                                            2209                                          10:00am
SYDNEY                                            2210                                          10:00am
SYDNEY                                            2216                                          10:00am
SYDNEY                                            2217                                          10:00am
SYDNEY                                            2218                                          10:00am
SYDNEY                                            2219                                          10:00am
SYDNEY                                            2220                                          10:00am
SYDNEY                                            2221                                          10:00am
SYDNEY                                            2222                                          10:00am
SYDNEY                                            2223                                          10:00am

AUSTRIA
ACHAU                                             2481                                          10:00am
BAD VOESLAU                                       2540                                          10:00am
BADEN                                             2500                                          10:00am
BADEN-LEESDORF                                    2502                                          10:00am
BIEDERMANNSDORF                                   2362                                          10:00am
BRUNN AM GEBIRGE                                  2345                                          10:00am
ENZESFELD-LINDABRUNN                              2551                                          10:00am
FISCHAMEND                                        2401                                          10:00am
GABLITZ                                           3003                                          10:00am
GIESSHUEBL                                        2372                                          10:00am
GUMPOLDSKIRCHEN                                   2352                                          10:00am
GUNSELDORF                                        2525                                          10:00am
GUNTRAMSDORF                                      2353                                          10:00am
GUNTRAMSDORF                                      2354                                          10:00am
HENNERSDORF (VIENNA)                              2332                                          10:00am
HIMBERG (VIENNA)                                  2325                                          10:00am
HIRTENBERG                                        2552                                          10:00am
KLOSTERNEUBURG                                    3402                                          10:00am
KLOSTERNEUBURG                                    3403                                          10:00am
KOTTINGBRUNN                                      2542                                          10:00am
LANZENDORF (VIENNA)                               2326                                          10:00am
LAXENBURG                                         2361                                          10:00am
LEOBERSDORF                                       2544                                          10:00am
LEOPOLDSDORF (VIENNA)                             2333                                          10:00am
LEOPOLDSDORF-INDUSTRIEZENTRUM                     2335                                          10:00am
MARIA ENZERSDORF                                  2344                                          10:00am
MARIA ENZERSDORF                                  2346                                          10:00am
MAUERBACH                                         3001                                          10:00am
MOEDLING                                          2340                                          10:00am
MOEDLING                                          2342                                          10:00am
MOELLERSDORF                                      2513                                          10:00am
OBERWALTERSDORF                                   2522                                          10:00am
PERCHTOLDSDORF                                    2380                                          10:00am
PFAFFSTAETTEN                                     2511                                          10:00am
PURKERSDORF                                       3002                                          10:00am
SCHWECHAT                                         2320                                          9:30am
SCHWECHAT-MANNSWOERTH                             2323                                          9:30am
SCHWECHAT-RANNERSDORF                             2324                                          9:30am
TATTENDORF                                        2523                                          10:00am
TEESDORF                                          2524                                          10:00am
TRAISKIRCHEN                                      2514                                          10:00am
TRIBUSWINKEL                                      2512                                          10:00am
TRUMAU                                            2521                                          10:00am
VIENNA                                            1010                                          9:30am
VIENNA                                            1012                                          9:30am
VIENNA                                            1013                                          9:30am
VIENNA                                            1014                                          9:30am
VIENNA                                            1015                                          9:30am
VIENNA                                            1016                                          9:30am
VIENNA                                            1017                                          9:30am
VIENNA                                            1018                                          9:30am
VIENNA                                            1020                                          9:30am
VIENNA                                            1022                                          9:30am
VIENNA                                            1023                                          9:30am
VIENNA                                            1024                                          9:30am
VIENNA                                            1025                                          9:30am
